,
main
name:SEA_SBL_U04,typeOfFirstFixedSurface:255,level:4,discipline:0,parameterCategory:2,parameterNumber:1
name:SEA_SBL_U05,typeOfFirstFixedSurface:255,level:5,discipline:0,parameterCategory:2,parameterNumber:1
name:SEA_SBL_U06,typeOfFirstFixedSurface:255,level:6,discipline:0,parameterCategory:2,parameterNumber:1
name:COVER001,typeOfFirstFixedSurface:1,discipline:2,parameterCategory:0,parameterNumber:0
name:ZS,typeOfFirstFixedSurface:1,discipline:0,parameterCategory:3,parameterNumber:6
name:ZSMT,typeOfFirstFixedSurface:1,discipline:255,parameterCategory:255,parameterNumber:255
name:AVG_ZS,typeOfFirstFixedSurface:1,discipline:2,parameterCategory:0,parameterNumber:255
name:SIL_ZS,typeOfFirstFixedSurface:1,discipline:2,parameterCategory:0,parameterNumber:255
name:SSO_STDEV,typeOfFirstFixedSurface:1,discipline:0,parameterCategory:3,parameterNumber:20
name:MIN_ZS,typeOfFirstFixedSurface:1,discipline:2,parameterCategory:0,parameterNumber:255
name:MAX_ZS,typeOfFirstFixedSurface:1,discipline:2,parameterCategory:0,parameterNumber:255
name:SSO_ANIS,typeOfFirstFixedSurface:1,discipline:0,parameterCategory:3,parameterNumber:24
name:SSO_DIR,typeOfFirstFixedSurface:1,discipline:0,parameterCategory:3,parameterNumber:21
name:SSO_SLOPE,typeOfFirstFixedSurface:1,discipline:0,parameterCategory:3,parameterNumber:22
name:HO2IP,typeOfFirstFixedSurface:1,discipline:255,parameterCategory:255,parameterNumber:255
name:HO2JP,typeOfFirstFixedSurface:1,discipline:255,parameterCategory:255,parameterNumber:255
name:HO2IM,typeOfFirstFixedSurface:1,discipline:255,parameterCategory:255,parameterNumber:255
name:HO2JM,typeOfFirstFixedSurface:1,discipline:255,parameterCategory:255,parameterNumber:255
name:AOSIP,typeOfFirstFixedSurface:1,discipline:255,parameterCategory:255,parameterNumber:255
name:AOSJP,typeOfFirstFixedSurface:1,discipline:255,parameterCategory:255,parameterNumber:255
name:AOSIM,typeOfFirstFixedSurface:1,discipline:255,parameterCategory:255,parameterNumber:255
name:AOSJM,typeOfFirstFixedSurface:1,discipline:255,parameterCategory:255,parameterNumber:255
name:Z0SEA,typeOfFirstFixedSurface:1,discipline:255,parameterCategory:255,parameterNumber:255
name:BATHY,typeOfFirstFixedSurface:1,discipline:255,parameterCategory:255,parameterNumber:255
name:SST,typeOfFirstFixedSurface:1,discipline:10,parameterCategory:3,parameterNumber:0
name:Z0WATER,typeOfFirstFixedSurface:1,discipline:255,parameterCategory:255,parameterNumber:255
name:SEA_SBL_Z01,typeOfFirstFixedSurface:255,level:1,discipline:0,parameterCategory:3,parameterNumber:255
name:SEA_SBL_Z02,typeOfFirstFixedSurface:255,level:2,discipline:0,parameterCategory:3,parameterNumber:255
name:SEA_SBL_Z03,typeOfFirstFixedSurface:255,level:3,discipline:0,parameterCategory:3,parameterNumber:255
name:SEA_SBL_Z04,typeOfFirstFixedSurface:255,level:4,discipline:0,parameterCategory:3,parameterNumber:255
name:SEA_SBL_Z05,typeOfFirstFixedSurface:255,level:5,discipline:0,parameterCategory:3,parameterNumber:255
name:SEA_SBL_Z06,typeOfFirstFixedSurface:255,level:6,discipline:0,parameterCategory:3,parameterNumber:255
name:SEA_SBL_E01,typeOfFirstFixedSurface:255,level:1,discipline:0,parameterCategory:19,parameterNumber:11
name:SEA_SBL_E02,typeOfFirstFixedSurface:255,level:2,discipline:0,parameterCategory:19,parameterNumber:11
name:SEA_SBL_E03,typeOfFirstFixedSurface:255,level:3,discipline:0,parameterCategory:19,parameterNumber:11
name:SEA_SBL_E04,typeOfFirstFixedSurface:255,level:4,discipline:0,parameterCategory:19,parameterNumber:11
name:SEA_SBL_E05,typeOfFirstFixedSurface:255,level:5,discipline:0,parameterCategory:19,parameterNumber:11
