,
main
name:SN_ROAD_TYPE,type:Misc,nature:str,dimension:0
name:EMISNAME001,type:Misc,nature:str,dimension:0
name:EMISNAME002,type:Misc,nature:str,dimension:0
name:NSV.TITRE,type:Misc,nature:str,dimension:0
name:COVER,type:Misc,nature:bool,dimension:1
name:COVER_LIST,type:Misc,nature:bool,dimension:1
name:LBXUM,type:Misc,nature:float,dimension:1
name:LBYUM,type:Misc,nature:float,dimension:1
name:LBXVM,type:Misc,nature:float,dimension:1
name:LBYVM,type:Misc,nature:float,dimension:1
name:LBXWM,type:Misc,nature:float,dimension:1
name:LBYWM,type:Misc,nature:float,dimension:1
name:LBXTHM,type:Misc,nature:float,dimension:1
name:LBYTHM,type:Misc,nature:float,dimension:1
name:LBXTKEM,type:Misc,nature:float,dimension:1
name:LBYTKEM,type:Misc,nature:float,dimension:1
name:LBXRVM,type:Misc,nature:float,dimension:1
name:LBYRVM,type:Misc,nature:float,dimension:1
name:LBXRCM,type:Misc,nature:float,dimension:1
name:LBYRCM,type:Misc,nature:float,dimension:1
name:LBXRRM,type:Misc,nature:float,dimension:1
name:LBYRRM,type:Misc,nature:float,dimension:1
name:LBXRIM,type:Misc,nature:float,dimension:1
name:LBYRIM,type:Misc,nature:float,dimension:1
name:LBXRSM,type:Misc,nature:float,dimension:1
name:LBYRSM,type:Misc,nature:float,dimension:1
name:LBXRGM,type:Misc,nature:float,dimension:1
name:LBYRGM,type:Misc,nature:float,dimension:1
name:LBX_CO2,type:Misc,nature:float,dimension:1
name:LBY_CO2,type:Misc,nature:float,dimension:1
name:RHOREFZ,type:Misc,nature:float,dimension:1
name:THVREFZ,type:Misc,nature:float,dimension:1
name:XHAT,type:Misc,nature:float,dimension:1
name:YHAT,type:Misc,nature:float,dimension:1
name:ZHAT,type:Misc,nature:float,dimension:1
name:DTRAD_FULL%TDATE,type:Misc,nature:int,dimension:1
name:DTRAD_CLLY%TDATE,type:Misc,nature:int,dimension:1
name:DTCUR%TDATE,type:Misc,nature:int,dimension:1
name:DTMOD%TDATE,type:Misc,nature:int,dimension:1
name:DTEXP%TDATE,type:Misc,nature:int,dimension:1
name:DTSEG%TDATE,type:Misc,nature:int,dimension:1
name:DTDCONV%TDATE,type:Misc,nature:int,dimension:1
name:CLEARCOL_TM1,type:Misc,nature:int,dimension:1
